"key","doc_count","breakingPeace","deception","kill","miscellaneous","royalOffences","theft","violentTheft","sexual","damage"
"1674","0","0","0","0","0","0","0","0","0","0"
"1675","0","0","0","0","0","0","0","0","0","0"
"1676","0","0","0","0","0","0","0","0","0","0"
"1677","0","0","0","0","0","0","0","0","0","0"
"1678","0","0","0","0","0","0","0","0","0","0"
"1679","0","0","0","0","0","0","0","0","0","0"
"1680","0","0","0","0","0","0","0","0","0","0"
"1681","0","0","0","0","0","0","0","0","0","0"
"1682","0","0","0","0","0","0","0","0","0","0"
"1683","0","0","0","0","0","0","0","0","0","0"
"1684","0","0","0","0","0","0","0","0","0","0"
"1685","0","0","0","0","0","0","0","0","0","0"
"1686","0","0","0","0","0","0","0","0","0","0"
"1687","0","0","0","0","0","0","0","0","0","0"
"1688","0","0","0","0","0","0","0","0","0","0"
"1689","0","0","0","0","0","0","0","0","0","0"
"1690","0","0","0","0","0","0","0","0","0","0"
"1691","0","0","0","0","0","0","0","0","0","0"
"1692","0","0","0","0","0","0","0","0","0","0"
"1693","0","0","0","0","0","0","0","0","0","0"
"1694","0","0","0","0","0","0","0","0","0","0"
"1695","0","0","0","0","0","0","0","0","0","0"
"1696","0","0","0","0","0","0","0","0","0","0"
"1697","0","0","0","0","0","0","0","0","0","0"
"1698","0","0","0","0","0","0","0","0","0","0"
"1699","0","0","0","0","0","0","0","0","0","0"
"1700","0","0","0","0","0","0","0","0","0","0"
"1701","0","0","0","0","0","0","0","0","0","0"
"1702","0","0","0","0","0","0","0","0","0","0"
"1703","0","0","0","0","0","0","0","0","0","0"
"1704","0","0","0","0","0","0","0","0","0","0"
"1705","0","0","0","0","0","0","0","0","0","0"
"1706","0","0","0","0","0","0","0","0","0","0"
"1707","0","0","0","0","0","0","0","0","0","0"
"1708","0","0","0","0","0","0","0","0","0","0"
"1709","0","0","0","0","0","0","0","0","0","0"
"1710","0","0","0","0","0","0","0","0","0","0"
"1711","0","0","0","0","0","0","0","0","0","0"
"1712","0","0","0","0","0","0","0","0","0","0"
"1713","0","0","0","0","0","0","0","0","0","0"
"1714","0","0","0","0","0","0","0","0","0","0"
"1715","0","0","0","0","0","0","0","0","0","0"
"1716","0","0","0","0","0","0","0","0","0","0"
"1717","0","0","0","0","0","0","0","0","0","0"
"1718","0","0","0","0","0","0","0","0","0","0"
"1719","0","0","0","0","0","0","0","0","0","0"
"1720","0","0","0","0","0","0","0","0","0","0"
"1721","0","0","0","0","0","0","0","0","0","0"
"1722","0","0","0","0","0","0","0","0","0","0"
"1723","0","0","0","0","0","0","0","0","0","0"
"1724","0","0","0","0","0","0","0","0","0","0"
"1725","0","0","0","0","0","0","0","0","0","0"
"1726","0","0","0","0","0","0","0","0","0","0"
"1727","0","0","0","0","0","0","0","0","0","0"
"1728","0","0","0","0","0","0","0","0","0","0"
"1729","0","0","0","0","0","0","0","0","0","0"
"1730","0","0","0","0","0","0","0","0","0","0"
"1731","0","0","0","0","0","0","0","0","0","0"
"1732","0","0","0","0","0","0","0","0","0","0"
"1733","0","0","0","0","0","0","0","0","0","0"
"1734","0","0","0","0","0","0","0","0","0","0"
"1735","0","0","0","0","0","0","0","0","0","0"
"1736","0","0","0","0","0","0","0","0","0","0"
"1737","0","0","0","0","0","0","0","0","0","0"
"1738","0","0","0","0","0","0","0","0","0","0"
"1739","0","0","0","0","0","0","0","0","0","0"
"1740","0","0","0","0","0","0","0","0","0","0"
"1741","0","0","0","0","0","0","0","0","0","0"
"1742","0","0","0","0","0","0","0","0","0","0"
"1743","0","0","0","0","0","0","0","0","0","0"
"1744","0","0","0","0","0","0","0","0","0","0"
"1745","0","0","0","0","0","0","0","0","0","0"
"1746","0","0","0","0","0","0","0","0","0","0"
"1747","0","0","0","0","0","0","0","0","0","0"
"1748","0","0","0","0","0","0","0","0","0","0"
"1749","0","0","0","0","0","0","0","0","0","0"
"1750","0","0","0","0","0","0","0","0","0","0"
"1751","0","0","0","0","0","0","0","0","0","0"
"1752","0","0","0","0","0","0","0","0","0","0"
"1753","0","0","0","0","0","0","0","0","0","0"
"1754","0","0","0","0","0","0","0","0","0","0"
"1755","0","0","0","0","0","0","0","0","0","0"
"1756","0","0","0","0","0","0","0","0","0","0"
"1757","0","0","0","0","0","0","0","0","0","0"
"1758","0","0","0","0","0","0","0","0","0","0"
"1759","0","0","0","0","0","0","0","0","0","0"
"1760","0","0","0","0","0","0","0","0","0","0"
"1761","0","0","0","0","0","0","0","0","0","0"
"1762","0","0","0","0","0","0","0","0","0","0"
"1763","0","0","0","0","0","0","0","0","0","0"
"1764","0","0","0","0","0","0","0","0","0","0"
"1765","0","0","0","0","0","0","0","0","0","0"
"1766","0","0","0","0","0","0","0","0","0","0"
"1767","0","0","0","0","0","0","0","0","0","0"
"1768","0","0","0","0","0","0","0","0","0","0"
"1769","0","0","0","0","0","0","0","0","0","0"
"1770","0","0","0","0","0","0","0","0","0","0"
"1771","0","0","0","0","0","0","0","0","0","0"
"1772","0","0","0","0","0","0","0","0","0","0"
"1773","0","0","0","0","0","0","0","0","0","0"
"1774","0","0","0","0","0","0","0","0","0","0"
"1775","0","0","0","0","0","0","0","0","0","0"
"1776","0","0","0","0","0","0","0","0","0","0"
"1777","0","0","0","0","0","0","0","0","0","0"
"1778","0","0","0","0","0","0","0","0","0","0"
"1779","0","0","0","0","0","0","0","0","0","0"
"1780","0","0","0","0","0","0","0","0","0","0"
"1781","0","0","0","0","0","0","0","0","0","0"
"1782","0","0","0","0","0","0","0","0","0","0"
"1783","0","0","0","0","0","0","0","0","0","0"
"1784","0","0","0","0","0","0","0","0","0","0"
"1785","0","0","0","0","0","0","0","0","0","0"
"1786","0","0","0","0","0","0","0","0","0","0"
"1787","0","0","0","0","0","0","0","0","0","0"
"1788","0","0","0","0","0","0","0","0","0","0"
"1789","0","0","0","0","0","0","0","0","0","0"
"1790","0","0","0","0","0","0","0","0","0","0"
"1791","0","0","0","0","0","0","0","0","0","0"
"1792","0","0","0","0","0","0","0","0","0","0"
"1793","0","0","0","0","0","0","0","0","0","0"
"1794","0","0","0","0","0","0","0","0","0","0"
"1795","0","0","0","0","0","0","0","0","0","0"
"1796","0","0","0","0","0","0","0","0","0","0"
"1797","0","0","0","0","0","0","0","0","0","0"
"1798","0","0","0","0","0","0","0","0","0","0"
"1799","0","0","0","0","0","0","0","0","0","0"
"1800","92","1","5","1","1","4","68","12","0","0"
"1801","101","0","2","2","1","2","78","15","1","0"
"1802","96","1","5","0","2","6","54","28","0","0"
"1803","82","1","3","2","6","7","53","8","1","1"
"1804","65","2","7","2","5","3","40","5","1","0"
"1805","64","0","5","1","11","7","31","9","0","0"
"1806","57","0","8","0","4","3","34","7","1","0"
"1807","71","1","6","2","3","3","49","7","0","0"
"1808","87","1","0","2","2","4","64","12","2","0"
"1809","88","1","4","0","2","4","63","10","3","1"
"1810","118","2","2","1","3","7","85","15","3","0"
"1811","110","3","7","4","3","5","71","15","1","1"
"1812","125","0","7","2","5","10","81","20","0","0"
"1813","141","0","10","2","6","12","96","15","0","1"
"1814","148","4","3","3","3","15","96","22","1","1"
"1815","123","2","3","1","3","3","96","13","2","0"
"1816","214","1","3","2","1","16","145","44","2","0"
"1817","199","1","5","1","2","3","140","46","1","0"
"1818","197","0","4","3","2","24","137","28","0","0"
"1819","183","2","3","1","0","14","130","32","1","0"
"1820","205","2","1","0","2","39","119","42","1","0"
"1821","141","1","2","0","3","19","85","30","1","0"
"1822","139","1","5","1","3","3","104","17","4","1"
"1823","122","4","0","0","3","5","99","12","0","0"
"1824","147","5","5","1","1","3","122","10","0","0"
"1825","161","2","0","1","1","2","142","12","1","0"
"1826","202","0","1","1","8","4","148","38","1","1"
"1827","219","1","5","1","6","8","158","39","1","0"
"1828","187","5","7","1","2","27","120","23","2","0"
"1829","135","3","13","1","3","7","87","18","2","1"
"1830","123","4","3","1","2","3","103","7","0","0"
"1831","163","6","4","3","0","10","130","10","0","0"
"1832","125","8","10","5","1","3","79","20","1","0"
"1833","108","3","0","2","2","0","85","16","0","0"
"1834","43","11","0","1","1","0","16","14","0","0"
"1835","71","9","1","2","0","0","49","7","3","0"
"1836","65","7","1","3","0","0","35","18","1","0"
"1837","51","7","0","3","0","0","27","13","2","0"
"1838","5","2","0","2","0","0","0","1","0","0"
"1839","15","2","0","4","0","0","0","0","9","0"
"1840","4","2","0","0","0","0","0","0","2","0"
"1841","5","0","0","3","0","0","0","0","2","0"
"1842","7","0","0","3","0","1","0","1","2","0"
"1843","7","2","0","2","0","0","2","1","0","0"
"1844","6","0","0","3","0","0","0","1","2","0"
"1845","7","0","0","5","0","0","0","0","2","0"
"1846","5","2","0","2","0","0","0","0","0","1"
"1847","6","1","0","4","0","0","0","0","1","0"
"1848","9","3","0","4","0","0","1","0","1","1"
"1849","6","3","0","1","0","0","1","1","0","0"
"1850","3","1","0","2","0","0","0","0","0","0"
"1851","3","1","0","1","0","0","0","0","0","1"
"1852","3","1","0","1","0","0","0","0","0","1"
"1853","7","4","0","2","0","0","0","0","1","0"
"1854","1","0","0","0","0","0","0","1","0","0"
"1855","7","2","0","3","0","0","0","0","1","1"
"1856","10","0","0","8","0","0","0","0","1","1"
"1857","5","0","0","3","0","0","1","0","1","0"
"1858","5","2","0","2","0","0","1","1","0","0"
"1859","8","2","0","3","0","0","1","1","1","0"
"1860","8","2","0","3","0","0","2","0","1","0"
"1861","7","1","0","5","0","0","1","0","0","0"
"1862","5","0","0","5","0","0","0","0","0","0"
"1863","2","0","0","2","0","0","0","0","0","0"
"1864","5","0","0","5","0","0","0","0","0","0"
"1865","3","0","0","3","0","0","0","0","0","0"
"1866","1","0","0","1","0","0","0","0","0","0"
"1867","3","0","0","3","0","0","0","0","0","0"
"1868","3","0","0","3","0","0","0","0","0","0"
"1869","3","0","0","3","0","0","0","0","0","0"
"1870","3","0","0","3","0","0","0","0","0","0"
"1871","2","0","0","2","0","0","0","0","0","0"
"1872","5","0","0","5","0","0","0","0","0","0"
"1873","0","0","0","0","0","0","0","0","0","0"
"1874","6","1","0","5","0","0","0","0","0","0"
"1875","5","0","0","5","0","0","0","0","0","0"
"1876","6","0","0","6","0","0","0","0","0","0"
"1877","5","0","0","5","0","0","0","0","0","0"
"1878","1","0","0","1","0","0","0","0","0","0"
"1879","6","0","0","6","0","0","0","0","0","0"
"1880","6","0","0","6","0","0","0","0","0","0"
"1881","2","0","0","2","0","0","0","0","0","0"
"1882","4","0","0","4","0","0","0","0","0","0"
"1883","5","0","0","5","0","0","0","0","0","0"
"1884","9","0","0","9","0","0","0","0","0","0"
"1885","6","0","0","6","0","0","0","0","0","0"
"1886","1","0","0","1","0","0","0","0","0","0"
"1887","3","0","0","3","0","0","0","0","0","0"
"1888","5","0","0","5","0","0","0","0","0","0"
"1889","0","0","0","0","0","0","0","0","0","0"
"1890","6","0","0","6","0","0","0","0","0","0"
"1891","3","0","0","3","0","0","0","0","0","0"
"1892","6","0","0","6","0","0","0","0","0","0"
"1893","5","0","0","5","0","0","0","0","0","0"
"1894","3","0","0","3","0","0","1","0","0","0"
"1895","2","0","0","2","0","0","0","0","0","0"
"1896","8","0","0","8","0","0","0","0","0","0"
"1897","2","0","0","2","0","0","0","0","0","0"
"1898","8","0","0","8","0","0","0","0","0","0"
"1899","8","0","0","8","0","0","0","0","0","0"
"1900","6","0","0","6","0","0","0","0","0","0"
"1901","6","0","0","6","0","0","0","0","0","0"
"1902","9","0","0","9","0","0","0","0","0","0"
"1903","6","0","0","6","0","0","0","0","0","0"
"1904","7","0","0","7","0","0","0","0","0","0"
"1905","9","0","0","9","0","0","0","0","0","0"
"1906","3","0","0","3","0","0","0","0","0","0"
"1907","4","0","0","4","0","0","0","0","0","0"
"1908","6","0","0","6","0","0","0","0","0","0"
"1909","8","1","0","8","0","0","0","1","0","0"
"1910","6","0","0","6","0","0","0","0","0","0"
"1911","9","0","0","9","0","0","0","0","0","1"
"1912","8","1","0","8","0","0","0","0","0","0"
"1913","0","0","0","0","0","0","0","0","0","0"
